Team,TD,10+,20+,yds_per_game,Opp_rush_10+,Opp_rush_20+,Att,Yards,Avg,1st_down_rush_Att,1st_down_rush_Yds,1st_down_rush_Avg,QB_rush_Att,QB_rush_Yds,QB_rush_Esc,Opp_rush_Atts,Opp_rush_Yards,Opp_rush_Avg,Opp_rush_TD
BC,4,19,3,75.9,28,3,190,835,4.4,118,542,4.6,52,208,17,188,908,4.8,7
CGY,7,25,3,88.9,30,7,208,978,4.7,141,677,4.8,45,182,11,226,"1,185",5.2,6
EDM,7,36,8,103.5,42,8,214,"1,138",5.3,138,788,5.7,71,412,33,263,"1,552",5.9,11
HAM,8,30,4,87.5,31,8,168,875,5.2,118,625,5.3,31,177,15,225,"1,192",5.3,12
MTL,8,24,5,98.1,36,8,203,981,4.8,140,690,4.9,61,321,26,200,"1,144",5.7,10
OTT,11,42,9,127.1,19,4,255,"1,398",5.5,167,874,5.2,100,631,48,219,857,3.9,10
SSK,5,25,3,87.2,29,3,195,872,4.5,109,544,5.0,45,226,17,216,950,4.4,9
TOR,14,27,7,115.8,20,0,202,"1,042",5.2,137,694,5.1,38,168,9,171,699,4.1,3
WPG,11,38,6,126.2,31,7,253,"1,388",5.5,169,953,5.6,34,108,4,180,"1,020",5.7,7
CFL,75,266,48,202.3,266,48,"1,888","9,507",5.04,"1,237","6,387",5.16,477,"2,433",180,"1,888","9,507",5.0,75
