Team,1st_downs_made_Tot,1st_downs_made_Rush,1st_downs_made_Pass,1st_downs_made_Pen,Opp_1st_downs_made_Tot,Opp_1st_downs_made_Rush,Opp_1st_downs_made_Pass
BC,228,62,146,20,190,63,107
CGY,194,67,115,12,215,87,113
EDM,182,67,97,18,232,91,119
HAM,178,56,110,12,212,79,116
MTL,180,60,103,17,180,67,97
OTT,195,84,94,17,211,54,144
SSK,192,63,119,10,173,64,101
TOR,180,70,96,14,187,52,120
WPG,235,85,129,21,164,57,92
CFL,1764,614,"1,009",141,"1,764",614,1009
