Team,GIVEAWAYS:_Dns,T/Os,Opp_Pts,OFF1 Ret2,TAKEAWAYS:_Dns,Ratio,GIVEAWAYS:_Fum,GIVEAWAYS:_Int,TAKEAWAYS:_Fum,TAKEAWAYS:_Int,Opp_team_T/O,Team_pts
BC,7,29,92,25 (3),8,-7,8,14,6,8,22,52
CGY,5,22,55,20 (2),6,-1,4,13,7,8,21,45
EDM,8,27,59,26 (1),5,-10,5,14,4,8,17,18
HAM,7,27,67,26 (1),5,-5,6,14,8,9,22,64
MTL,4,22,63,21 (1),6,+5,9,9,5,16,27,63
OTT,8,25,42,23 (2),5,+5,6,11,9,16,30,86
SSK,9,25,55,24 (1),4,-5,7,9,5,11,20,32
TOR,4,13,34,12 (1),6,+11,1,8,4,14,24,88
WPG,5,23,69,22 (1),12,+7,9,9,7,11,30,88
CFL,57,213,536,199 (13),57,2023,55,101,55,101,213,536
