Team,,OPP_Tot,Diff Rnk,Total,Per_Game,20+_Rush,30+_Pass,Punt_Rets,K/O_Rets,FGM_Rets,Opp_off_20+_Rush,Opp_off_30+_Pass,Opp_kick_Punt_Rets,Opp_kick_K/O_Rets,Opp_kick_FGM_Ret
BC,,23,0 T4,23,2.09,3,15,2,1,2,3,16,1,3,0
CGY,,32,-2 T6,30,2.73,3,21,3,2,1,7,14,6,2,3
EDM,,31,0 T4,31,2.82,8,18,2,2,1,8,18,3,2,0
HAM,,34,-11 8,23,2.30,4,11,2,5,1,8,22,1,2,1
MTL,,24,+4 3,28,2.80,5,22,1,0,0,8,13,2,0,1
OTT,,39,-18 9,21,1.91,9,9,3,0,0,4,31,4,0,0
SSK,,26,-2 T6,24,2.40,3,17,2,2,0,3,17,4,1,1
TOR,,18,+18 1,36,4.00,7,20,8,1,0,0,13,2,3,0
WPG,,27,+11 2,38,3.45,6,26,2,3,1,7,15,2,3,0
CFL,,254,0,254,5.40,48,159,25,16,6,48,159,25,16,6
2022,,,,377,4.65,84,225,28,28,12,,,,,
2021,,,,277,3.42,62,170,21,12,12,,,,,
2019,,,,387,4.78,87,219,42,26,13,,,,,
2018,,,,435,5.37,101,264,33,26,11,,,,,
2017,,,,445,5.49,83,275,45,29,13,,,,,
