Team,Yards,Int,TD,LG,30+,2D_conversions,Yds_per_game,Avg_depth,Yds,SA,Esc_runs,Dropbacks,Att,Com,complete%,Effic,IC%,Avg,YAC,TDI
BC,"3,387",14,20,78,15,70,308,12.8,"4,895",31,17,429,381,256,67.2,97.3,3.7,8.9,"1,023",1.43
CGY,"2,798",13,12,95,21,62,254,9.1,"3,428",21,11,408,376,230,61.2,80.3,3.5,7.4,"1,228",0.92
EDM,"2,562",14,12,102,18,46,233,9.8,"2,840",26,33,350,291,184,63.2,85.2,4.8,8.8,"1,129",0.86
HAM,"2,565",15,7,75,11,66,257,10.8,"3,510",28,15,369,326,210,64.4,76.5,4.6,7.9,"1,035",0.47
MTL,"2,501",9,9,69,22,58,250,10.3,"2,859",37,26,341,278,183,65.8,91.7,3.2,9.0,"1,159",1.00
OTT,"2,230",11,6,55,9,57,203,9.4,"2,912",42,48,399,309,204,66.0,78.8,3.6,7.2,885,0.55
SSK,"2,744",9,13,60,17,57,274,10.6,"3,650",31,17,392,344,230,66.9,92.7,2.6,8.0,916,1.44
TOR,"2,465",8,16,76,20,45,274,12.3,"2,825",10,9,249,230,157,68.3,112.3,3.5,10.7,964,2.00
WPG,"3,128",9,25,71,26,68,284,11.8,"3,693",25,4,343,314,214,68.2,115.0,2.9,10.0,"1,130",2.78
CFL,"24,380",102,120,102,159,529,519,10.7,"30,612",251,180,"3,280","2,849","1,868",65.6,91.5,3.6,8.6,"9,469",1.18
