Team,T/O,Punt,Oth,TD%,Poss,TD,FG,FGM,Own_1-20_Drv,Own_1-20_TD,Own_21-40_Drv,Own_21-40_TD,Own_41-54_Drv,Own_41-54_TD,Opp_55-41_Drv,Opp_55-41_TD,Opp_40-21_Drv,Opp_40-21_TD,Opp_20-1_Drv,Opp_20-1_TD,Opp_2&O_2&O,Opp_2&O_%
BC,20,83,6,11%,155,17,26,3,22,3,81,5,28,3,16,3,6,3,2,0,52,34%
CGY,18,73,12,15%,156,23,26,4,26,2,85,10,26,4,8,3,7,2,4,2,54,35%
EDM,16,58,10,17%,144,25,28,7,30,1,78,13,24,6,8,3,4,2,0,0,46,32%
HAM,20,57,9,18%,137,25,23,3,22,2,67,14,29,6,7,0,12,3,0,0,39,28%
MTL,27,58,6,14%,140,20,26,3,21,1,84,8,18,2,7,3,9,4,1,0,50,36%
OTT,28,70,4,18%,156,28,26,0,26,2,86,15,28,6,8,1,7,4,1,0,51,33%
SSK,17,68,8,14%,145,21,28,3,20,3,79,10,27,3,6,2,11,3,2,0,56,39%
TOR,23,63,9,16%,129,21,13,0,21,1,84,12,14,4,7,3,3,1,0,0,47,36%
WPG,30,71,7,10%,150,15,22,5,23,2,79,8,29,1,10,1,7,1,2,2,62,41%
CFL,199,601,71,14.9,"1,312",195,218,28,211,17,723,95,223,35,77,19,66,23,12,4,457,35%
