Team,LG,S,FG Atts,FGA,Md,%,<40_yds_FGA,<40_yds_Md,<40_yds_%,40+_yds_FGA,40+_yds_Md,40+_yds_%,50+_yds_FGA,50+_yds_Md,FG_made_Yards,FG_made_Avg,FG_att_Yards,FG_att_Avg
BC,51,0,Atts 65,32,30,93.75,15,15,100.0,17,15,88.2,2,1,"1,031",34.4,"1,132",35.4
CGY,53,0,Made 59,39,34,87.17948717948718,18,17,94.4,21,17,81.0,7,6,"1,271",37.4,"1,497",38.4
EDM,45,1,% 91%,15,12,80.0,10,9,90.0,5,3,60.0,0,0,347,28.9,473,31.5
HAM,50,2,,27,23,85.18518518518519,21,20,95.2,6,3,50.0,2,1,661,28.7,836,31.0
MTL,51,1,,32,27,84.375,17,15,88.2,15,12,80.0,3,3,949,35.1,"1,156",36.1
OTT,54,2,,33,30,90.90909090909092,18,17,94.4,15,13,86.7,7,6,"1,050",35.0,"1,182",35.8
SSK,54,1,,27,23,85.18518518518519,18,17,94.4,9,6,66.7,5,2,684,29.7,874,32.4
TOR,47,1,,15,14,93.33333333333333,11,11,100.0,4,3,75.0,1,0,451,32.2,494,32.9
WPG,53,0,,27,26,96.29629629629628,17,18,105.9,9,8,88.9,4,3,800,32.0,897,33.2
CFL,54,8,,247,219,88.66396761133603,145,139,95.9,101,80,79.2,31,22,"7,244",33.2,"8,541",34.6
