Team,0-9_yds_Effic,20+_yds_TD,20+_yds_Effic,0-9_yds_Att,0-9_yds_Com,0-9_yds_%,0-9_yds_Yds,0-9_yds_Int,0-9_yds_TD,10-19_yds_Att,10-19_yds_Com,10-19_yds_%,10-19_yds_Yds,10-19_yds_Int,10-19_yds_TD,10-19_yds_Effic,20+_yds_Att,20+_yds_Com,20+_yds_%,20+_yds_Yds,20+_yds_Int
BC,105.7,15,109.7,195,165,84.6,"1,387",0,2,85,49,57.6,831,8,3,63.4,101,42,41.6,"1,169",6
CGY,79.8,6,106.8,256,177,69.1,"1,496",5,3,69,35,50.7,560,5,3,62.5,51,18,35.3,742,3
EDM,84.2,6,128.3,190,134,70.5,"1,186",6,6,59,29,49.2,504,3,0,57.5,42,21,50.0,872,5
HAM,83.8,4,52.3,199,151,75.9,"1,342",7,3,67,41,61.2,680,3,0,76.7,60,18,30.0,543,5
MTL,92.1,4,87.9,173,133,76.9,"1,238",4,3,58,32,55.2,575,1,2,93.7,47,18,38.3,688,4
OTT,93.9,2,4.5,211,159,75.4,"1,332",1,3,64,37,57.8,598,4,1,68.4,34,8,23.5,300,6
SSK,86.6,6,79.1,206,158,76.7,"1,198",5,4,74,52,70.3,843,0,3,121.6,64,20,31.3,703,4
TOR,96.7,9,151.3,126,98,77.8,880,3,4,53,34,64.2,679,2,3,112.1,51,25,49.0,906,3
WPG,97.6,13,183.1,172,136,79.1,"1,183",6,8,78,45,57.7,764,2,4,97.4,64,33,51.6,"1,181",1
CFL,90.4,65,104.7,"1,728","1,311",75.9,"11,242",37,36,607,354,58.3,6034,28,19,83.3,514,203,39.5,"7,104",37
