Team,GP,Yards,Per G,Plays,yds_per_play,Rush_plays,Oth_TLs_Plays,Pass_yds,Rush_yds,TLs_yds,Rush%,Ps%,Oth%,Pass_plays,Sa_Plays
BC,11,"3,211",291.9,566,5.67,188,1,"2,543",908,-240,33%,67%,0%,346,31
CGY,11,"3,672",333.8,612,6.00,226,20,"2,705","1,185",-218,37%,60%,3%,334,32
EDM,11,"4,213",383.0,609,6.92,263,19,"2,816","1,552",-155,43%,54%,3%,300,27
HAM,10,"3,750",375.0,549,6.83,225,14,"2,775","1,192",-217,41%,56%,3%,283,27
MTL,10,"3,286",328.6,539,6.10,200,13,"2,307","1,144",-165,37%,60%,2%,307,19
OTT,11,"4,247",386.1,596,7.13,219,7,"3,584",857,-194,37%,62%,1%,342,28
SSK,10,"3,230",323.0,530,6.09,216,8,"2,454",950,-174,41%,58%,2%,282,24
TOR,9,"3,228",358.7,523,6.17,171,2,"2,758",699,-229,33%,67%,0%,318,32
WPG,11,"3,217",292.5,556,5.79,180,8,"2,438","1,020",-241,32%,66%,1%,337,31
CFL,47,"32,054",682.0,"5,080",6.31,"1,888",92,"24,380","9,507","-1,833",37%,61%,2%,"2,849",251
