Team,LG,S,FG Atts,FGA,Md,%,<40_yds_FGA,<40_yds_Md,<40_yds_%,40+_yds_FGA,40+_yds_Md,40+_yds_%,50+_yds_FGA,50+_yds_Md,FG_made_Yards,FG_made_Avg,FG_att_Yards,FG_att_Avg
BC,51,0,Atts 81,37,34,91.8918918918919,18,18,100.0,19,16,84.2,3,1,"1,179",34.7,"1,330",35.9
CGY,53,0,Made 74,46,41,89.13043478260869,24,23,95.8,22,18,81.8,7,6,"1,481",36.1,"1,707",37.1
EDM,46,1,% 91%,22,19,86.36363636363636,13,12,92.3,9,7,77.8,0,0,594,31.3,720,32.7
HAM,50,3,,34,29,85.29411764705883,27,26,96.3,7,3,42.9,3,1,854,29.4,"1,086",31.9
MTL,51,2,,42,34,80.95238095238095,23,20,87.0,19,14,73.7,4,3,"1,129",33.2,"1,463",34.8
OTT,54,2,,40,34,85.0,20,19,95.0,20,15,75.0,11,8,"1,196",35.2,"1,474",36.9
SSK,54,1,,38,32,84.21052631578947,25,24,96.0,13,8,61.5,7,3,977,30.5,"1,263",33.2
TOR,51,1,,25,23,92.0,18,18,100.0,7,5,71.4,2,1,744,32.3,835,33.4
WPG,53,0,,33,31,93.93939393939394,21,22,104.8,11,9,81.8,4,3,918,30.6,"1,063",32.2
CFL,54,10,,317,277,87.38170347003155,189,182,96.3,127,95,74.8,41,26,"9,072",32.9,"10,941",34.5
