Team,Att,Md,Fail,Opp_Att,Opp_Md,Opp_%
BC,16,13,3,14,10,71%
CGY,17,15,2,16,11,69%
EDM,17,13,4,19,16,84%
HAM,18,16,2,20,17,85%
MTL,15,12,3,16,15,94%
OTT,25,22,3,16,12,75%
SSK,27,21,6,15,12,80%
TOR,9,4,5,24,22,92%
WPG,16,13,3,20,14,70%
CFL,160,129,31,160,129,81%
