Team,Penalties_punt,Penalties_K/O,Total,Per_game
BC,18,2,20,1.54
CGY,11,6,17,1.31
EDM,9,7,16,1.14
HAM,15,2,17,1.31
MTL,16,8,24,1.85
OTT,5,3,8,0.62
SSK,4,5,9,0.69
TOR,8,1,9,0.75
WPG,11,0,11,0.79
CFL,97,34,131,2.22
