Team,LG,S,Rec,Oppt_returns_TD,Oppt_returns_40+,No,Yards,Avg,Oppt_returns_No,Oppt_returns_Yards,Oppt_returns_Avg,Oppt_returns_LG,Regular_K/Os_No,Regular_K/Os_Yards,Regular_K/Os_Avg,Oppt_start_YdL,Oppt_start_Av_YL,Oppt_start_Rk
BC,79,1,0,1,3,52,"3,174",61.0,51,"1,002",19.6,82,50,"3,145",62.9,"1,800",36.0,3
CGY,82,0,0,0,2,41,"2,724",66.4,41,894,21.8,42,41,"2,724",66.4,"1,418",36.4,5
EDM,100,1,1,0,2,46,"2,627",57.1,42,653,15.5,62,46,"2,627",57.1,"1,725",39.2,8
HAM,79,0,0,0,2,45,"2,616",58.1,42,776,18.5,43,42,"2,574",61.3,"1,774",40.3,9
MTL,77,0,0,0,0,45,"2,967",65.9,45,964,21.4,37,45,"2,967",65.9,"1,557",35.4,1
OTT,77,0,0,0,0,43,"2,620",60.9,42,810,19.3,37,43,"2,620",60.9,"1,628",37.9,6
SSK,95,1,1,0,2,40,"2,454",61.4,37,737,19.9,41,38,"2,432",64.0,"1,417",36.3,4
TOR,100,2,0,0,9,66,"4,784",72.5,64,"1,732",27.1,79,66,"4,784",72.5,"2,324",35.8,2
WPG,90,1,0,0,4,72,"4,787",66.5,71,"1,787",25.2,62,72,"4,787",66.5,"2,702",38.1,7
CFL,100,6,2,1,24,450,"28,753",63.9,435,"9,355",21.5,82,443,"28,660",64.7,"16,345",37.2,
