Team,GP,Yards,Per G,Rank,Plays,yds_per_play,Rush_plays,TLs*,Pass_yds,Rush_yds,TLs_yds,Rush%,Ps%,Oth%,Pass_plays,Sa_Plays
BC,13,"4,778",367.5,3,725,6.59,223,17,"4,018","1,016",-256,31%,67%,2%,451,34
CGY,13,"4,348",334.5,6,720,6.04,252,5,"3,323","1,210",-185,35%,64%,1%,439,24
EDM,14,"4,738",338.4,5,698,6.79,301,8,"3,074","1,868",-204,43%,56%,1%,358,31
HAM,13,"4,408",339.1,4,713,6.18,240,9,"3,423","1,212",-227,34%,65%,1%,427,37
MTL,13,"4,330",333.1,8,699,6.19,249,15,"3,404","1,270",-344,36%,62%,2%,385,50
OTT,13,"4,078",313.7,9,744,5.48,317,15,"2,728","1,707",-357,43%,55%,2%,366,46
SSK,13,"4,342",334.0,7,727,5.97,241,5,"3,479","1,084",-221,33%,66%,1%,442,39
TOR,12,"4,553",379.4,2,606,7.51,266,11,"3,243","1,405",-95,44%,54%,2%,317,12
WPG,14,"5,693",406.6,1,773,7.36,323,23,"4,091","1,850",-248,42%,55%,3%,399,28
CFL,59,"41,268",699.5,,"6,405",6.44,"2,412",108,"30,783","12,622","-2,137",38%,###,2%,"3,584",301
