,Team,Att,Md,%,1-3_yds_Att,1-3_yds_Md,1-3_yds_%,4-6_yds_Att,4-6_yds_Md,4-6_yds_%,7+_yds_Att,7+_yds_Md,7+_yds_%,Yds_to_go_Yards,Yds_to_go_Avg
,BC,281,121,43.1,56,41,73.2,64,27,42.2,161,53,32.9,"2,191",7.80
,CGY,282,132,46.8,65,50,76.9,74,47,63.5,143,35,24.5,"2,082",7.38
,EDM,312,163,52.2,61,47,77.0,86,50,58.1,165,66,40.0,"2,187",7.01
,HAM,268,136,50.7,61,44,72.1,61,35,57.4,146,57,39.0,"1,903",7.10
,MTL,289,137,47.4,57,38,66.7,74,39,52.7,158,60,38.0,"2,039",7.06
,OTT,278,135,48.6,45,28,62.2,73,33,45.2,160,74,46.3,"2,113",7.60
,SSK,275,130,47.3,60,44,73.3,69,35,50.7,146,51,34.9,"1,960",7.13
,TOR,273,122,44.7,52,31,59.6,57,30,52.6,164,61,37.2,"2,142",7.85
,WPG,293,126,43.0,44,33,75.0,80,38,47.5,169,55,32.5,"2,239",7.64
,CFL,"2,551","1,202",47.1,501,356,71.1,638,334,52.4,"1,412",512,36.3,"18,856",7.39
