Team,10+,Long_gain_returns,Punt_returns_No,Punt_returns_Yds,Punt_returns_Avg,Punt_returns_LG,Punt_returns_TD,Punt_returns_30+,Kickoff_returns_No,Kickoff_returns_Yds,Kickoff_returns_Avg,Kickoff_returns_LG,Kickoff_returns_TD,Kickoff_returns_40+,FG_miss_returns_No,FG_miss_returns_Yds,FG_miss_returns_LG,FG_miss_returns_TD,FG_miss_returns_30,TDs_PR,TDs_KOR,TDs_FGM,TDs_Tot
BC,,6,56,591,10.6,91,1,3,51,"1,002",19.6,82,1,3,2,42,22,0,0,1,1,0,2
CGY,,11,71,862,12.1,94,4,6,41,894,21.8,42,0,2,4,199,102,0,3,4,0,0,4
EDM,,7,65,755,11.6,54,0,5,42,653,15.5,62,0,2,2,41,29,0,0,0,0,0,0
HAM,,5,60,602,10.0,77,1,2,42,776,18.5,43,0,2,2,42,30,0,1,1,0,0,1
MTL,,3,60,583,9.7,48,0,2,45,964,21.4,37,0,0,4,80,47,0,1,0,0,0,0
OTT,,6,65,620,9.5,79,1,4,42,810,19.3,37,0,0,3,223,120,1,2,1,0,1,2
SSK,,8,73,937,12.8,92,2,4,37,737,19.9,41,0,2,5,205,86,0,2,2,0,0,2
TOR,,14,55,625,11.4,52,0,4,64,"1,732",27.1,79,0,9,1,60,60,0,1,0,0,0,0
WPG,,7,52,636,12.2,45,0,2,71,"1,787",25.2,62,0,4,3,85,67,0,1,0,0,0,0
CFL,240,67,557,"6,211",11.2,94,9,32,435,"9,355",21.5,82,1,24,26,977,120,1,11,9,1,1,11
