Team,Int,TD,LG,30+,,2D_conversions,,%_YAC,Avg_depth Yds_depth,,SA,Esc_runs,Dropbacks,Att,Com,complete%,Yards,Effic,IC%,Avg,YAC,TDI,Yds_per_game
BC,17,26,78,17,0.0,83,0.0,30.5,"12.6 5,681",0.0,34,26,511,451,303,67.2,"4,018",98.7,3.8,8.9,"1,226",1.53,309
CGY,14,14,95,24,0.0,73,0.0,43.3,"9.1 4,000",0.0,24,14,477,439,278,63.3,"3,323",83.7,3.2,7.6,"1,439",1.00,256
EDM,17,17,102,22,0.0,62,0.0,42.5,"9.9 3,559",0.0,31,54,443,358,227,63.4,"3,074",86.7,4.7,8.6,"1,305",1.00,220
HAM,17,14,75,13,0.0,99,0.0,39.5,"10.6 4,518",0.0,37,25,489,427,281,65.8,"3,423",84.7,4.0,8.0,"1,352",0.82,263
MTL,13,12,69,25,0.0,79,0.0,48.0,"10.0 3,846",0.0,50,31,466,385,263,68.3,"3,404",92.2,3.4,8.8,"1,634",0.92,262
OTT,13,6,55,10,0.0,68,0.0,39.2,"9.8 3,570",0.0,46,55,467,366,240,65.6,"2,728",78.4,3.6,7.5,"1,069",0.46,210
SSK,10,16,64,20,0.0,76,0.0,35.3,"10.9 4,825",0.0,39,21,502,442,291,65.8,"3,479",92.4,2.3,7.9,"1,227",1.60,268
TOR,10,20,76,24,0.0,66,0.0,39.9,"11.7 3,698",0.0,12,13,342,317,215,67.8,"3,243",109.1,3.2,10.2,"1,293",2.00,270
WPG,13,34,71,36,0.0,85,0.0,35.0,"12.7 5,084",0.0,28,8,435,399,267,66.9,"4,091",115.4,3.3,10.3,"1,432",2.62,292
CFL,124,159,102,191,0.0,691,0.0,38.9,"10.8 38,781",0.0,301,247,"4,132","3,584","2,365",66.0,"30,783",93.2,3.5,8.6,11977,1.28,522
