Team,Att,Md,%,1-3_yds_Att,1-3_yds_Md,1-3_yds_%,4-6_yds_Att,4-6_yds_Md,4-6_yds_%,7+_yds_Att,7+_yds_Md,7+_yds_%,Yds_to_go_Yards,Yds_to_go_Avg
BC,63,23,36.5,12,7,58.3,18,8,44.4,33,8,24.2,482,7.65
CGY,66,30,45.5,12,10,83.3,23,12,52.2,31,8,25.8,465,7.05
EDM,76,44,57.9,20,16,80.0,21,11,52.4,35,17,48.6,485,6.38
HAM,60,31,51.7,12,8,66.7,15,9,60.0,33,14,42.4,447,7.45
MTL,48,18,37.5,6,3,50.0,7,4,57.1,35,11,31.4,391,8.15
OTT,46,20,43.5,8,7,87.5,10,3,30.0,28,10,35.7,360,7.83
SSK,65,30,46.2,14,9,64.3,15,8,53.3,36,13,36.1,458,7.05
TOR,39,15,38.5,5,2,40.0,11,5,45.5,23,8,34.8,288,7.38
WPG,62,29,46.8,12,8,66.7,11,7,63.6,39,14,35.9,474,7.65
CFL,525,240,45.7,101,70,69.3,131,67,51.1,293,103,35.2,"3,850",7.33
