Team,Yards,Int,TD,LG,30+,2D_conversions,Yds_per_game,Avg_depth,SA,Sack%,Esc_runs,Dropbacks,Att,Com,complete%,Effic,IC%,Avg,YAC,TDI
BC,861,2,5,36,2,20,287,11.9,4,4%,7,112,101,73,72.3,106.1,2.0,8.5,251,2.50
CGY,788,5,2,56,6,17,263,9.3,5,4%,5,115,105,61,58.1,68.3,4.8,7.5,464,0.40
EDM,603,3,4,102,2,8,201,8.9,12,13%,4,92,76,49,64.5,90.0,3.9,7.9,312,1.33
HAM,824,6,2,61,5,19,275,12.5,7,5%,3,128,118,71,60.2,65.8,5.1,7.0,238,0.33
MTL,553,0,2,61,6,12,277,11.4,10,18%,2,57,45,33,73.3,129.2,0.0,12.3,274,0
OTT,415,5,0,50,2,11,208,11.1,3,4%,3,79,73,40,54.8,42.9,6.8,5.7,148,0.00
SSK,867,3,5,60,6,20,289,10.6,8,7%,5,118,105,69,65.7,95.2,2.9,8.3,343,1.67
TOR,502,2,1,59,5,8,251,13.0,1,2%,1,48,46,27,58.7,85.6,4.3,10.9,237,0.50
WPG,861,1,5,47,7,20,287,12.8,9,8%,4,107,94,63,67.0,109.4,1.1,9.2,265,5.00
CFL,"6,274",27,26,102,41,135,523,11.2,59,7%,34,856,763,486,63.7,86.0,3.5,8.2,"2,532",0.96
