20+_yds_Effic,Team,0-9_yds_Att,0-9_yds_Com,0-9_yds_%,0-9_yds_Yds,0-9_yds_Int,0-9_yds_TD,0-9_yds_Effic,10-19_yds_Att,10-19_yds_Com,10-19_yds_%,10-19_yds_Yds,10-19_yds_Int,10-19_yds_TD,10-19_yds_Effic,20+_yds_Att,20+_yds_Com,20+_yds_%,20+_yds_Yds,20+_yds_Int,20+-yds_TD
-7.7,BC,62,43,69.4,327,1,0,75.1,15,8,53.3,108,0,1,98.8,14,1,7.1,47,1,0
87.0,CGY,63,52,82.5,452,1,0,94.1,22,13,59.1,214,3,1,50.2,19,4,21.1,147,0,2
64.8,EDM,47,36,76.6,266,2,1,78.9,22,14,63.6,275,1,0,88.3,23,8,34.8,226,2,2
175.5,HAM,38,32,84.2,356,0,2,128.8,24,14,58.3,262,0,0,96.2,16,8,50.0,266,0,3
17.0,MTL,49,33,67.3,198,1,0,66.5,14,5,35.7,76,1,0,24.7,19,6,31.6,248,3,0
123.8,OTT,32,27,84.4,369,0,0,120.4,12,4,33.3,61,1,0,16.3,9,5,55.6,163,0,0
26.8,SSK,49,36,73.5,374,1,1,93.4,28,16,57.1,263,2,2,82.9,15,3,20.0,149,2,1
82.2,TOR,45,37,82.2,259,1,2,100.1,13,11,84.6,185,0,0,131.9,9,4,44.4,133,2,2
119.4,WPG,51,40,78.4,314,2,2,89.8,27,16,59.3,244,0,1,101.5,26,10,38.5,292,0,3
76.8,CFL,436,336,77.1,"2,915",9,8,91.7,177,101,57.1,1688,8,5,80.0,150,49,32.7,"1,671",10,13
