Team,0-9_yds_Effic,20+_yds_TD,20+_yds_Effic,0-9_yds_Att,0-9_yds_Com,0-9_yds_%,0-9_yds_Yds,0-9_yds_Int,0-9_yds_TD,10-19_yds_Att,10-19_yds_Com,10-19_yds_%,10-19_yds_Yds,10-19_yds_Int,10-19_yds_TD,10-19_yds_Effic,20+_yds_Att,20+_yds_Com,20+_yds_%,20+_yds_Yds,20+_yds_Int
BC,110.3,3,101.9,49,44,89.8,313,0,1,28,19,67.9,313,1,1,102.2,24,10,41.7,235,1
CGY,98.4,0,-31.5,67,49,73.1,588,1,1,24,10,41.7,153,2,1,42.5,14,2,14.3,47,2
EDM,92.7,2,172.4,55,41,74.5,316,1,2,13,5,38.5,80,1,0,27.7,8,3,37.5,207,1
HAM,64.3,2,67.9,68,50,73.5,316,3,0,19,11,57.9,178,1,0,67.4,31,10,32.3,330,2
MTL,135.7,1,164.2,26,23,88.5,294,0,1,9,4,44.4,70,0,0,71.5,10,6,60.0,189,0
OTT,84.1,0,-55.6,46,33,71.7,245,0,0,15,5,33.3,76,2,0,-4.6,12,2,16.7,94,3
SSK,92.4,2,75.3,59,46,78.0,399,2,2,27,18,66.7,294,0,1,115.4,19,5,26.3,174,1
TOR,70.8,1,115.6,22,15,68.2,163,1,0,12,8,66.7,172,1,0,82.6,12,4,33.3,167,0
WPG,93.1,2,112.1,44,35,79.5,281,1,1,30,21,70.0,352,0,2,131.5,20,7,35.0,228,0
CFL,91.7,13,76.8,436,336,77.1,"2,915",9,8,177,101,57.1,1688,8,5,80.0,150,49,32.7,"1,671",10
