Team,Acc,Decl,YDS,GP,ALL,Avg,Off,Def,SpTm,ST_cover_Punt,ST_cover_K/Os,ST_return_PtR,ST_return_KOR
BC,21,0,226,3,21,7.0,6,5,8,4,0,4,0
CGY,22,2,199,3,24,8.0,6,9,9,1,2,4,2
EDM,22,5,231,3,27,9.0,8,13,6,4,1,0,1
HAM,28,2,283,3,30,10.0,8,10,12,3,3,5,1
MTL,17,1,165,2,18,9.0,4,7,7,0,0,5,2
OTT,8,2,81,2,10,5.0,5,2,3,1,1,1,0
SSK,16,2,170,3,18,6.0,6,6,6,3,0,2,1
TOR,18,0,175,2,18,9.0,8,5,5,1,1,2,1
WPG,15,3,176,3,18,6.0,8,6,4,1,0,3,0
CFL,167,17,"1,706",2023,184,15.3,59,63,60,18,8,26,8
