TEAM,Opp_RZ_Pts,Att,TD,%,FG,T/O,Oth,Pts,%,Opp_Att1,Opp_TD,Opp_%,Opp_(No_TD)_FG,Opp_(No_TD)_T/O,Opp_(No_TD)_Oth
BC,12 57%,9,6,66.7,2,0,1,48,76%,3,1,33.3,2,0,0
CGY,38 54%,9,4,44.4,3,2,0,37,59%,10,4,40.0,4,2,0
EDM,48 69%,5,2,40.0,2,1,0,21,60%,10,5,50.0,4,0,1
HAM,75 77%,8,4,50.0,2,2,0,35,63%,14,9,64.3,3,1,1
MTL,12 34%,5,3,60.0,2,0,0,27,77%,5,0,0.0,4,1,0
OTT,28 80%,5,0,0.0,4,1,0,12,34%,5,3,60.0,2,0,0
SSK,48 62%,12,6,50.0,5,1,0,55,65%,11,6,54.5,2,3,0
TOR,32 76%,9,7,77.8,2,0,0,56,89%,6,4,66.7,1,1,0
WPG,63 90%,12,8,66.7,2,1,1,65,77%,10,8,80.0,2,0,0
CFL,356 69%,74,40,54.1,24,8,2,356,69%,74,40,54.1,24,8,2
