Team,1st_downs_made_Tot,1st_downs_made_Rush,1st_downs_made_Pass,1st_downs_made_Pen,Opp_1st_downs_made_Tot,Opp_1st_downs_made_Rush,Opp_1st_downs_made_Pass
BC,340,89,225,26,324,107,188
CGY,284,97,166,21,295,124,150
EDM,286,113,144,29,334,128,176
HAM,303,101,185,17,339,122,191
MTL,304,102,175,27,315,106,176
OTT,318,129,154,35,317,92,206
SSK,314,103,194,17,325,124,181
TOR,294,106,166,22,309,92,191
WPG,369,136,201,32,254,81,151
CFL,2812,976,"1,610",226,"2,812",976,1610
