Team,Punt_returns_TD,Punt_returns_30+,Punt_returns_10+,Kickoff_returns_40+,Rk,30,Long_gain_returns,Punt_returns_No,Punt_returns_Yds,Punt_returns_Avg,Punt_returns_LG,Kickoff_returns_No,Kickoff_returns_Yds,Kickoff_returns_Avg,Kickoff_returns_LG,Kickoff_returns_TD,FG_miss_returns_No,FG_miss_returns_Yds,FG_miss_returns_LG,FG_miss_returns_TD,TDs_PR,TDs_KOR,TDs_FGM,TDs_Tot
BC,0,3,,2,4,3,8,75,863,11.5,68,53,"1,166",22.0,62,0,6,239,120,1,0,0,1,1
CGY,0,4,,2,5,1,7,73,865,11.8,54,59,"1,253",21.2,47,0,3,135,86,0,0,0,0,0
EDM,0,2,,4,6,1,7,71,705,9.9,52,62,"1,303",21.0,72,0,4,80,30,0,0,0,0,0
HAM,0,4,,8,1,3,15,63,662,10.5,54,64,"1,486",23.2,71,1,4,215,79,0,0,1,0,1
MTL,1,7,,4,2,1,12,71,743,10.5,77,59,"1,344",22.8,79,0,4,96,60,0,1,0,0,1
OTT,1,6,,1,8,1,8,75,809,10.8,79,67,"1,349",20.1,42,0,4,98,69,0,1,0,0,1
SSK,3,4,,3,3,1,8,78,893,11.4,107,71,"1,581",22.3,82,0,2,88,59,0,3,0,0,3
TOR,4,12,,1,9,0,13,79,"1,158",14.7,91,48,890,18.5,41,0,3,11,6,0,4,0,0,4
WPG,1,2,,3,7,2,7,73,796,10.9,92,36,739,20.5,43,0,5,215,102,0,1,0,0,1
CFL,10,44,290,28,,13,85,658,"7,494",11.4,107,519,"11,111",21.4,82,1,35,"1,177",120,1,10,1,1,12
