Team,GP,Yards,Per G,Plays,yds_per_play,Rush_plays,Oth_TLs_Plays,Pass_yds,Rush_yds,TLs_yds,Rush%,Ps%,Oth%,Pass_plays,Sa_Plays
BC,16,"5,190",324.4,873,5.95,292,3,"4,093","1,473",-376,33%,66%,0%,526,52
CGY,15,"5,165",344.3,813,6.35,318,23,"3,525","1,890",-250,39%,58%,3%,435,37
EDM,16,"6,002",375.1,875,6.86,375,21,"4,054","2,171",-223,43%,55%,2%,443,36
HAM,16,"5,905",369.1,876,6.74,353,20,"4,278","1,907",-280,40%,57%,2%,468,35
MTL,16,"5,404",337.8,869,6.22,309,16,"3,929","1,752",-277,36%,63%,2%,509,35
OTT,16,"6,024",376.5,867,6.95,312,12,"4,964","1,351",-291,36%,63%,1%,501,42
SSK,16,"6,099",381.2,869,7.02,377,18,"4,357","1,989",-247,43%,55%,2%,440,34
TOR,15,"5,258",350.5,879,5.98,285,4,"4,432","1,194",-368,32%,67%,0%,536,54
WPG,16,"4,828",301.8,808,5.98,265,10,"3,722","1,447",-341,33%,66%,1%,487,46
CFL,71,"49,875",702.5,"7,729",6.45,"2,886",127,"37,354","15,174","-2,653",37%,###,2%,"4,345",371
