Team,TD,10+,20+,yds_per_game,Opp_rush_10+,Opp_rush_20+,Att,Yards,Avg,1st_down_rush_Att,1st_down_rush_Yds,1st_down_rush_Avg,QB_rush_Att,QB_rush_Yds,QB_rush_Esc,Opp_rush_Atts,Opp_rush_Yards,Opp_rush_Avg,Opp_rush_TD
BC,9,33,5,81.4,39,5,272,"1,303",4.8,171,844,4.9,81,402,35,292,"1,473",5.0,15
CGY,10,40,5,95.1,54,13,288,"1,427",5.0,193,988,5.1,59,233,16,318,"1,890",5.9,11
EDM,12,67,16,126.1,59,9,332,"2,018",6.1,210,"1,351",6.4,112,796,64,375,"2,171",5.8,19
HAM,11,55,6,97.1,55,14,307,"1,553",5.1,211,"1,050",5.0,61,354,32,353,"1,907",5.4,19
MTL,14,37,9,101.8,57,12,316,"1,628",5.2,206,"1,092",5.3,94,473,36,309,"1,752",5.7,18
OTT,21,64,13,126.4,35,8,370,"2,022",5.5,245,"1,321",5.4,134,816,59,312,"1,351",4.3,14
SSK,12,41,6,84.8,66,10,298,"1,356",4.6,175,839,4.8,69,285,24,377,"1,989",5.3,17
TOR,25,45,11,112.7,34,0,326,"1,691",5.2,227,"1,147",5.1,58,273,22,285,"1,194",4.2,5
WPG,17,59,10,136.0,42,10,377,"2,176",5.8,247,"1,459",5.9,62,229,11,265,"1,447",5.5,13
CFL,131,441,81,213.7,441,81,"2,886","15,174",5.26,"1,885",###,5.35,730,"3,861",299,"2,886",15174,5.3,131
