Team,Att,Md,Fail,Opp_Att,Opp_Md,Opp_%
BC,18,13,5,20,16,80%
CGY,21,19,2,18,12,67%
EDM,18,14,4,21,17,81%
HAM,21,18,3,25,21,84%
MTL,19,16,3,21,18,86%
OTT,27,22,5,19,15,79%
SSK,35,28,7,16,13,81%
TOR,10,5,5,28,25,89%
WPG,20,16,4,21,14,67%
CFL,189,151,38,189,151,80%
