Team,1-3_yds_%,4-6_yds_%,7+_yds_%,Att,Md,%,1-3_yds_Att,1-3_yds_Md,4-6_yds_Att,4-6_yds_Md,7+_yds_Att,7+_yds_Md,Yds_to_go_Yards,Yds_to_go_Avg
BC,71.2,65.1,37.9,343,173,50.4,59,42,86,56,198,75,"2,691",7.85
CGY,77.5,38.8,33.2,347,155,44.7,80,62,80,31,187,62,"2,553",7.36
EDM,66.1,56.5,32.3,314,143,45.5,62,41,85,48,167,54,"2,374",7.56
HAM,65.4,51.7,42.3,361,173,47.9,52,34,87,45,222,94,"2,810",7.78
MTL,73.6,46.5,37.1,344,162,47.1,72,53,86,40,186,69,"2,496",7.26
OTT,71.0,49.4,32.0,353,154,43.6,69,49,81,40,203,65,"2,566",7.27
SSK,63.9,47.4,36.1,358,155,43.3,61,39,78,37,219,79,"2,783",7.77
TOR,73.9,53.7,36.8,295,148,50.2,69,51,82,44,144,53,"2,129",7.22
WPG,81.7,62.1,38.9,352,196,55.7,82,67,103,64,167,65,"2,276",6.47
CFL,72.3,52.7,36.4,"3,067","1,459",47.6,606,438,768,405,"1,693",616,"22,678",7.39
