Team,Int,TD,LG,30+,,2D_conversions,,%_YAC,Avg_depth Yds_depth,,SA,Esc_runs,Dropbacks,Att,Com,complete%,Yards,Effic,IC%,Avg,YAC,TDI,Yds_per_game
BC,19,32,78,26,0.0,108,0.0,33.3,"12.5 6,847",0.0,46,35,627,546,365,66.8,"5,093",101.7,3.5,9.3,"1,695",1.68,318
CGY,16,15,95,25,0.0,91,0.0,43.1,"8.9 4,614",0.0,30,16,566,520,333,64.0,"3,840",83.0,3.1,7.4,"1,656",0.94,256
EDM,19,20,102,24,0.0,66,0.0,42.2,"9.7 4,025",0.0,43,64,523,416,266,63.9,"3,476",87.2,4.6,8.4,"1,468",1.05,217
HAM,21,20,88,23,0.0,117,0.0,41.0,"10.3 5,352",0.0,42,32,594,520,341,65.6,"4,396",87.9,4.0,8.5,"1,801",0.95,275
MTL,15,15,69,28,0.0,92,0.0,47.8,"9.5 4,426",0.0,55,36,557,466,328,70.4,"4,106",94.8,3.2,8.8,"1,961",1.00,257
OTT,15,8,55,11,0.0,83,0.0,40.5,"9.5 4,379",0.0,59,59,579,461,307,66.6,"3,465",81.1,3.3,7.5,"1,404",0.53,217
SSK,15,18,64,23,0.0,95,0.0,35.4,"10.5 5,806",0.0,50,24,627,553,366,66.2,"4,346",89.5,2.7,7.9,"1,539",1.20,272
TOR,12,23,76,27,0.0,75,0.0,39.9,"11.8 4,608",0.0,14,22,426,390,261,66.9,"3,894",106.3,3.1,10.0,"1,553",1.92,260
WPG,15,37,71,39,0.0,100,0.0,36.5,"12.3 5,804",0.0,32,11,516,473,320,67.7,"4,738",113.1,3.2,10.0,"1,730",2.47,296
CFL,147,188,102,226,0.0,827,0.0,39.6,"10.6 45,861",0.0,371,299,"5,015","4,345","2,887",66.4,"37,354",93.6,3.4,8.6,14807,1.28,526
