Team,TOP,Team_Poss,Team_FP_Yds,Team_YdL,Starts_from_opp_end_No,Starts_from_opp_end_TD,Opp_Poss,Opp_YdL,Gp,Games_+,Games_-,avg_Gap
BC,29:52,224,"8,082",36.1,26,6,223,39.2,16,6,10,-3.1
CGY,29:48,212,"8,102",38.2,29,8,207,37.2,15,7,8,+1.0
EDM,29:26,213,"7,850",36.9,18,3,212,35.9,16,9,7,+0.9
HAM,30:57,217,"7,822",36.0,29,5,218,39.3,16,6,10,-3.3
MTL,29:56,209,"7,622",36.5,22,4,216,36.7,16,7,9,-0.3
OTT,31:04,230,"8,463",36.8,23,9,223,38.2,16,6,10,-1.4
SSK,28:38,228,"8,532",37.4,26,7,226,38.2,16,8,8,-0.7
TOR,28:01,203,"8,462",41.7,43,19,212,33.9,15,14,1,+7.8
WPG,32:09,217,"8,221",37.9,28,11,216,38.2,16,8,8,-0.3
CFL,,"1,953","73,156",37.5,244,72,"1,953",37.5,,,,
