Team,Punt_returns_TD,Punt_returns_30+,Kickoff_returns_40+,Rk,30,Long_gain_returns,Punt_returns_No,Punt_returns_Yds,Punt_returns_Avg,Punt_returns_LG,Kickoff_returns_No,Kickoff_returns_Yds,Kickoff_returns_Avg,Kickoff_returns_LG,Kickoff_returns_TD,FG_miss_returns_No,FG_miss_returns_Yds,FG_miss_returns_LG,FG_miss_returns_TD,TDs_PR,TDs_KOR,TDs_FGM,TDs_Tot
BC,0,2,1,1,2,5,48,515,10.7,44,23,557,24.2,62,0,3,94,48,0,0,0,0,0
CGY,0,2,1,7,1,4,46,510,11.1,33,35,719,20.5,43,0,3,135,86,0,0,0,0,0
EDM,0,2,2,4,0,4,40,404,10.1,52,34,724,21.3,72,0,2,27,20,0,0,0,0,0
HAM,0,2,4,3,1,7,35,368,10.5,39,35,808,23.1,71,0,1,47,47,0,0,0,0,0
MTL,1,1,0,8,0,1,36,311,8.6,77,28,570,20.4,36,0,1,12,12,0,1,0,0,1
OTT,1,3,0,T5,0,3,51,534,10.5,79,35,736,21.0,39,0,0,0,0,0,1,0,0,1
SSK,2,2,2,2,0,4,52,578,11.1,94,37,866,23.4,62,0,1,29,29,0,2,0,0,2
TOR,3,6,0,9,0,6,48,690,14.4,91,25,411,16.4,32,0,0,0,0,0,3,0,0,3
WPG,1,1,3,T5,1,5,41,448,10.9,92,22,462,21.0,43,0,3,170,102,0,1,0,0,1
CFL,8,21,13,,5,39,397,"4,358",11.0,94,274,"5,853",21.4,72,0,14,514,102,0,8,0,0,8
