Team,LG,S,Rec,Oppt_returns_TD,Oppt_returns_40+,Rank,No,Yards,Avg,Oppt_returns_No,Oppt_returns_Yards,Oppt_returns_Avg,Oppt_returns_LG,Regular_K/Os_No,Regular_K/Os_Yards,Regular_K/Os_Avg,Oppt_start_YdL,Oppt_start_Av_YL
BC,79,1,0,0,2,5,34,"2,080",61.2,33,650,19.7,43,33,"2,070",62.7,"1,216",36.8
CGY,82,0,0,0,1,T3,28,"1,860",66.4,28,605,21.6,42,28,"1,860",66.4,982,36.4
EDM,100,1,1,0,2,9,25,"1,342",53.7,22,331,15.0,62,25,"1,342",53.7,993,43.2
HAM,79,0,0,0,2,6,27,"1,621",60.0,24,480,20.0,43,26,"1,608",61.8,"1,048",40.3
MTL,77,0,0,0,0,T3,30,"1,991",66.4,30,651,21.7,37,30,"1,991",66.4,"1,045",36.0
OTT,77,0,0,0,0,8,27,"1,650",61.1,26,483,18.6,37,27,"1,650",61.1,991,36.7
SSK,95,1,0,0,1,7,27,"1,610",59.6,25,496,19.8,41,26,"1,599",61.5,"1,064",39.4
TOR,100,2,0,0,3,1,44,"3,202",72.8,42,"1,081",25.7,72,44,"3,202",72.8,"1,489",33.8
WPG,90,1,0,0,2,2,45,"3,015",67.0,44,"1,076",24.5,62,45,"3,015",67.0,"1,666",37.0
CFL,100,6,1,0,13,,287,"18,371",64.0,274,"5,853",21.4,72,284,"18,337",64.6,"10,494",37.3
