Team,OPP_Tot,Diff Rnk,Total,20+_Rush,30+_Pass,Punt_Rets,K/O_Rets,FGM_Rets,Opp_off_20+_Rush,Opp_off_30+_Pass,Opp_kick_Punt_Rets,Opp_kick_K/O_Rets,Opp_kick_FGM_Ret
BC,18,+1 4,19,3,11,2,1,2,2,13,1,2,0
CGY,23,-2 6,21,3,14,2,1,1,5,10,4,1,3
EDM,28,-6 7,22,6,12,2,2,0,6,17,3,2,0
HAM,29,-10 8,19,2,10,2,4,1,7,19,1,2,0
MTL,17,+8 3,25,5,19,1,0,0,4,11,1,0,1
OTT,31,-14 9,17,6,8,3,0,0,3,24,4,0,0
SSK,23,-1 5,22,3,15,2,2,0,3,14,4,1,1
TOR,14,+15 1,29,6,17,6,0,0,0,9,2,3,0
WPG,22,+9 2,31,3,23,1,3,1,7,12,1,2,0
CFL,205,0,205,37,129,21,13,5,37,129,21,13,5
