Team,GP,Yards,Per G,Plays,yds_per_play,Rush_plays,Oth_TLs_Plays,Pass_yds,Rush_yds,TLs_yds,Rush%,Ps%,Oth%,Pass_plays,Sa_Plays
BC,9,"2,556",284.0,463,5.52,142,1,"2,082",691,-217,31%,69%,0%,294,26
CGY,9,"2,940",326.7,504,5.83,186,14,"2,173",953,-186,37%,60%,3%,276,28
EDM,9,"3,603",400.3,508,7.09,222,19,"2,426","1,297",-120,44%,53%,4%,248,19
HAM,8,"3,001",375.1,441,6.80,183,10,"2,230",973,-202,41%,56%,2%,224,24
MTL,8,"2,566",320.8,427,6.01,142,9,"1,926",775,-135,33%,65%,2%,261,15
OTT,9,"3,388",376.4,484,7.00,169,6,"2,934",615,-161,35%,64%,1%,288,21
SSK,9,"2,766",307.3,471,5.87,204,8,"1,999",907,-140,43%,55%,2%,240,19
TOR,8,"2,805",350.6,464,6.05,157,2,"2,371",640,-206,34%,66%,0%,276,29
WPG,9,"2,799",311.0,469,5.97,149,6,"2,106",900,-207,32%,67%,1%,286,28
CFL,39,"26,424",677.5,"4,231",6.25,"1,554",75,"20,247","7,751","-1,574",37%,61%,2%,"2,393",209
