Team,1-3_yds_%,4-6_yds_%,7+_yds_%,Att,Md,%,1-3_yds_Att,1-3_yds_Md,4-6_yds_Att,4-6_yds_Md,7+_yds_Att,7+_yds_Md,Yds_to_go_Yards,Yds_to_go_Avg
BC,78.1,60.4,32.5,199,94,47.2,32,25,53,32,114,37,"1,553",7.80
CGY,75.5,37.0,32.4,210,93,44.3,53,40,46,17,111,36,"1,486",7.08
EDM,65.7,46.5,35.4,177,78,44.1,35,23,43,20,99,35,"1,364",7.71
HAM,60.9,52.8,37.2,172,75,43.6,23,14,36,19,113,42,"1,382",8.03
MTL,73.0,53.7,33.7,173,81,46.8,37,27,41,22,95,32,"1,260",7.28
OTT,69.4,52.0,29.5,208,87,41.8,36,25,50,26,122,36,"1,493",7.18
SSK,59.1,42.2,35.0,209,87,41.6,44,26,45,19,120,42,"1,572",7.52
TOR,79.5,53.7,39.7,158,84,53.2,39,31,41,22,78,31,"1,213",7.68
WPG,77.8,58.5,39.4,195,103,52.8,36,28,65,38,94,37,"1,287",6.60
CFL,71.3,51.2,34.7,"1,701",782,46.0,335,239,420,215,946,328,"12,610",7.41
