Team,Int,TD,LG,30+,2D_conversions,TDI,PerG,Avg_depth,Yds,SA,Runs,Dropbacks,Att,Com,Complete%,Yards,Effic,IC%,Avg,YAC
BC,8,6,71,13,38,0.75,231,9.0,"2,642",26,11,331,294,187,63.6,"2,082",80.1,2.7,7.1,864
CGY,6,14,76,10,44,2.33,241,9.9,"2,738",28,14,318,276,186,67.4,"2,173",98.9,2.2,7.9,917
EDM,8,14,70,17,60,1.75,270,11.8,"2,927",19,7,274,248,167,67.3,"2,426",104.3,3.2,9.8,769
HAM,8,10,59,19,43,1.25,279,10.9,"2,433",24,22,270,224,151,67.4,"2,230",99.7,3.6,10.0,926
MTL,12,6,68,11,54,0.50,241,11.2,"2,929",15,13,289,261,161,61.7,"1,926",72.7,4.6,7.4,635
OTT,14,15,95,24,59,1.07,326,10.9,"3,153",21,10,319,288,191,66.3,"2,934",96.9,4.9,10.2,"1,314"
SSK,10,9,102,14,38,0.90,222,10.5,"2,509",19,22,281,240,152,63.3,"1,999",84.7,4.2,8.3,949
TOR,14,14,84,9,51,1.00,296,9.9,"2,723",29,15,320,276,203,73.6,"2,371",94.9,5.1,8.6,"1,003"
WPG,10,8,80,12,48,0.80,234,11.3,"3,241",28,26,340,286,173,60.5,"2,106",77.9,3.5,7.4,696
CFL,90,96,102,129,435,1.07,519,10.6,"25,295",209,140,"2,742","2,393","1,571",65.6,"20,247",89.7,3.8,8.5,"8,073"
