Team,Long_gain_returns,Punt_returns_No,Punt_returns_Yds,Punt_returns_Avg,Punt_returns_LG,Punt_returns_TD,Punt_returns_30+,Kickoff_returns_No,Kickoff_returns_Yds,Kickoff_returns_Avg,Kickoff_returns_LG,Kickoff_returns_TD,Kickoff_returns_40+,FG_miss_returns_No,FG_miss_returns_Yds,FG_miss_returns_LG,FG_miss_returns_TD,FG_miss_returns_30,TDs_PR,TDs_KOR,TDs_FGM,TDs_Tot
BC,3,40,417,10.4,91,1,1,33,650,19.7,43,0,2,1,20,20,0,0,1,0,0,1
CGY,8,51,610,12.0,94,3,4,28,605,21.6,42,0,1,3,184,102,0,3,3,0,0,3
EDM,5,49,584,11.9,44,0,3,22,331,15.0,62,0,2,2,41,29,0,0,0,0,0,0
HAM,3,42,391,9.3,77,1,1,24,480,20.0,43,0,2,1,12,12,0,0,1,0,0,1
MTL,2,38,337,8.9,33,0,1,30,651,21.7,37,0,0,2,74,47,0,1,0,0,0,0
OTT,4,49,472,9.6,79,1,4,26,483,18.6,37,0,0,1,24,24,0,0,1,0,0,1
SSK,6,51,710,13.9,92,2,4,25,496,19.8,41,0,1,3,152,86,0,1,2,0,0,2
TOR,5,42,450,10.7,52,0,2,42,"1,081",25.7,72,0,3,0,0,0,0,0,0,0,0,0
WPG,3,35,387,11.1,35,0,1,44,"1,076",24.5,62,0,2,1,7,7,0,0,0,0,0,0
CFL,39,397,"4,358",11.0,94,8,21,274,"5,853",21.4,72,0,13,14,514,102,0,5,8,0,0,8
