Team,Opp_Fail,Att,Md,Fail,Opp_Att,Opp_Md
BC,4,10,9,1,11,7
CGY,4,13,11,2,13,9
EDM,3,10,7,3,10,7
HAM,1,8,6,2,10,9
MTL,1,7,6,1,11,10
OTT,4,13,11,2,10,6
SSK,2,21,16,5,10,8
TOR,1,8,3,5,15,14
WPG,4,12,9,3,12,8
