Team,0-9_yds_Effic,20+_yds_TD,20+_yds_Effic,0-9_yds_Att,0-9_yds_Com,0-9_yds_%,0-9_yds_Yds,0-9_yds_Int,0-9_yds_TD,10-19_yds_Att,10-19_yds_Com,10-19_yds_%,10-19_yds_Yds,10-19_yds_Int,10-19_yds_TD,10-19_yds_Effic,20+_yds_Att,20+_yds_Com,20+_yds_%,20+_yds_Yds,20+_yds_Int
BC,106.9,12,106.1,159,135,84.9,"1,140",0,2,64,38,59.4,649,7,2,58.7,76,31,40.8,817,5
CGY,82.5,4,79.9,217,154,71.0,"1,346",4,2,59,30,50.8,460,5,2,52.9,34,10,29.4,415,3
EDM,80.2,4,92.0,170,117,68.8,"1,048",6,5,50,23,46.0,364,3,0,45.8,34,15,44.1,614,5
HAM,78.8,4,54.9,167,125,74.9,"1,115",7,2,53,29,54.7,467,3,0,60.8,57,18,31.6,543,5
MTL,95.5,4,104.1,136,105,77.2,990,2,2,41,23,56.1,446,1,1,92.1,38,16,42.1,590,3
OTT,95.7,2,11.4,176,134,76.1,"1,135",1,3,59,32,54.2,528,4,1,62.0,29,7,24.1,265,5
SSK,87.7,5,69.5,189,147,77.8,"1,123",5,4,68,48,70.6,784,0,1,113.8,58,17,29.3,598,4
TOR,91.5,7,154.1,110,85,77.3,721,3,3,45,29,64.4,598,1,3,124.1,44,23,52.3,785,2
WPG,101.5,11,190.3,140,113,80.7,"1,001",4,6,65,39,60.0,661,2,4,102.1,55,28,50.9,"1,044",0
CFL,90.4,53,100.2,"1,464","1,115",76.2,"9,619",32,29,504,291,57.7,4957,26,14,78.9,425,165,38.8,"5,671",32
