Team,GP,Yards,Per G,Rank,Plays,yds_per_play,Rush_plays,TLs*,Pass_yds,Rush_yds,TLs_yds,Rush%,Ps%,Oth%,Pass_plays,Sa_Plays
BC,7,"2,577",368.1,1,388,6.64,134,9,"2,097",625,-145,35%,63%,2%,226,19
CGY,7,"2,436",348.0,5,390,6.25,120,3,"1,936",599,-99,31%,68%,1%,253,14
EDM,8,"2,322",290.3,9,394,5.89,133,1,"1,837",637,-152,34%,66%,0%,238,22
HAM,7,"2,330",332.9,6,377,6.18,112,5,"1,923",516,-109,30%,69%,1%,246,14
MTL,6,"1,882",313.7,7,325,5.79,113,8,"1,559",522,-199,35%,63%,2%,177,27
OTT,7,"2,172",310.3,8,410,5.30,154,12,"1,462",918,-208,38%,60%,3%,217,27
SSK,7,"2,539",362.7,4,408,6.22,127,4,"2,082",604,-147,31%,68%,1%,249,28
TOR,6,"2,207",367.8,2,307,7.19,147,4,"1,530",738,-61,48%,51%,1%,149,7
WPG,7,"2,562",366.0,3,395,6.49,161,14,"1,946",783,-167,41%,56%,4%,202,18
CFL,31,"21,027",678.3,,"3,394",6.20,"1,201",60,"16,372","5,942","-1,287",35%,63%,2%,"1,957",176
