Team,LG,S,FGA,Md,%,<40_yds_FGA,<40_yds_Md,<40_yds_%,40+_yds_FGA,40+_yds_Md,40+_yds_%,50+_yds_FGA,50+_yds_Md,FG_made_Yards,FG_made_Avg,FG_att_Yards,FG_att_Avg
BC,51,0,21,20,95.23809523809524,10,10,100.0,11,10,90.9,2,1,701,35.1,753,35.9
CGY,53,0,25,22,88.0,13,12,92.3,12,10,83.3,6,6,836,38.0,967,38.7
EDM,45,1,11,8,72.72727272727273,6,5,83.3,5,3,60.0,0,0,245,30.6,371,33.7
HAM,50,0,17,17,100.0,15,15,100.0,2,2,100.0,1,1,489,28.8,489,28.8
MTL,51,1,21,18,85.71428571428571,10,9,90.0,11,9,81.8,1,1,640,35.6,764,36.4
OTT,54,0,22,21,95.45454545454545,12,12,100.0,10,9,90.0,3,3,708,33.7,753,34.2
SSK,46,1,19,15,78.94736842105263,13,12,92.3,6,3,50.0,3,0,413,27.5,603,31.7
TOR,47,1,13,12,92.30769230769232,9,9,100.0,4,3,75.0,1,0,391,32.6,434,33.4
WPG,52,0,16,16,100.0,9,10,111.1,6,6,100.0,2,2,504,33.6,549,34.3
CFL,54,4,165,149,90.30303030303031,97,94,96.9,67,55,82.1,19,14,"4,927",33.3,"5,683",34.4
