Team,Int,TD,LG,30+,2D_conversions,TDI,PerG,Avg_depth,Yds,SA,Runs,Dropbacks,Att,Com,Complete%,Yards,Effic,IC%,Avg,YAC
BC,6,2,54,7,32,0.33,214,8.9,"2,062",25,10,267,232,148,63.8,"1,499",74.3,2.6,6.5,649
CGY,4,9,68,7,36,2.25,242,9.5,"2,089",22,11,254,221,150,67.9,"1,696",96.7,1.8,7.7,766
EDM,7,10,70,15,50,1.43,264,11.7,"2,553",17,7,243,219,148,67.6,"2,113",100.5,3.2,9.6,688
HAM,6,9,59,15,41,1.50,273,11.0,"2,190",22,20,241,199,132,66.3,"1,912",99.9,3.0,9.6,760
MTL,9,6,68,11,43,0.67,266,11.4,"2,292",10,6,217,201,125,62.2,"1,597",78.3,4.5,7.9,489
OTT,13,10,95,18,47,0.77,317,10.7,"2,376",21,7,250,222,147,66.2,"2,221",89.6,5.9,10.0,"1,069"
SSK,9,8,102,12,31,0.89,239,10.4,"2,148",12,15,233,206,128,62.1,"1,676",82.5,4.4,8.1,782
TOR,14,11,84,7,34,0.79,322,10.6,"2,406",22,9,257,226,160,70.8,"1,930",87.1,6.2,8.5,785
WPG,7,7,80,10,39,1.00,247,11.1,"2,563",25,21,277,231,141,61.0,"1,728",81.6,3.0,7.5,539
CFL,75,72,102,102,353,0.96,528,10.6,"20,679",176,106,"2,239","1,957","1,279",65.4,"16,372",87.7,3.8,8.4,"6,527"
