Team,Punt_returns_TD,Punt_returns_30+,Kickoff_returns_40+,Rk,30,Long_gain_returns,Punt_returns_No,Punt_returns_Yds,Punt_returns_Avg,Punt_returns_LG,Kickoff_returns_No,Kickoff_returns_Yds,Kickoff_returns_Avg,Kickoff_returns_LG,Kickoff_returns_TD,FG_miss_returns_No,FG_miss_returns_Yds,FG_miss_returns_LG,FG_miss_returns_TD,TDs_PR,TDs_KOR,TDs_FGM,TDs_Tot
BC,0,1,0,7,2,3,41,414,10.1,44,15,301,20.1,38,0,3,94,48,0,0,0,0,0
CGY,0,2,1,5,1,4,34,390,11.5,33,28,585,20.9,43,0,3,135,86,0,0,0,0,0
EDM,0,2,2,T3,0,4,36,391,10.9,52,27,576,21.3,72,0,2,27,20,0,0,0,0,0
HAM,0,2,4,1,0,6,33,359,10.9,39,32,744,23.3,71,0,0,0,0,0,0,0,0,0
MTL,1,1,0,8,0,1,25,230,9.2,77,23,455,19.8,34,0,0,0,0,0,1,0,0,1
OTT,1,2,0,6,0,2,42,420,10.0,79,24,486,20.3,39,0,0,0,0,0,1,0,0,1
SSK,2,2,2,2,0,4,41,519,12.7,94,27,614,22.7,62,0,1,29,29,0,2,0,0,2
TOR,2,3,0,9,0,3,35,491,14.0,91,18,276,15.3,32,0,0,0,0,0,2,0,0,2
WPG,1,1,3,T3,1,5,36,397,11.0,92,18,384,21.3,43,0,3,170,102,0,1,0,0,1
CFL,7,16,12,,4,32,323,"3,611",11.2,94,212,"4,421",20.9,72,0,12,455,102,0,7,0,0,7
