Team,Acc,Decl,Yards,GP,ALL,Avg,Off,Def,SpTm,ST_cover_Punt,ST_cover_K/Os,ST_return_PtR,ST_return_KOR
BC,59,6,589,7,65,9.3,23,22,20,9,1,9,1
CGY,47,9,497,7,56,8.0,17,23,16,5,2,7,2
EDM,68,12,768,8,80,10.0,23,33,24,10,3,5,6
HAM,65,9,685,7,74,10.6,24,25,25,8,5,10,2
MTL,40,7,429,6,47,7.8,13,16,18,0,1,12,5
OTT,35,5,347,7,40,5.7,18,11,11,6,2,3,0
SSK,39,5,312,7,44,6.3,20,14,10,4,0,3,3
TOR,51,5,540,6,56,9.3,30,18,8,2,2,3,1
WPG,33,8,340,7,41,5.9,18,12,11,3,0,8,0
CFL,437,66,"4,507",2023,503,16.2,186,174,143,47,16,60,20
