Team,Att,Md,%,1-3_yds_Att,1-3_yds_Md,1-3_yds_%,4-6_yds_Att,4-6_yds_Md,4-6_yds_%,7+_yds_Att,7+_yds_Md,7+_yds_%,Yds_to_go_Yards,Yds_to_go_Avg
BC,152,54,35.5,23,13,56.5,41,20,48.8,88,21,23.9,"1,219",8.02
CGY,162,76,46.9,32,26,81.3,47,29,61.7,83,21,25.3,"1,164",7.19
EDM,183,98,53.6,32,26,81.3,50,28,56.0,101,44,43.6,"1,266",6.92
HAM,149,71,47.7,27,18,66.7,33,17,51.5,89,36,40.4,"1,104",7.41
MTL,135,61,45.2,25,17,68.0,30,16,53.3,80,28,35.0,"1,022",7.57
OTT,151,70,46.4,25,18,72.0,38,13,34.2,88,39,44.3,"1,167",7.73
SSK,149,64,43.0,32,23,71.9,29,12,41.4,88,29,33.0,"1,093",7.34
TOR,128,54,42.2,25,15,60.0,24,10,41.7,79,29,36.7,"1,043",8.15
WPG,152,70,46.1,28,21,75.0,40,24,60.0,84,25,29.8,"1,150",7.57
CFL,"1,361",618,45.4,249,177,71.1,332,169,50.9,780,272,34.9,"10,228",7.52
