Team,GP,Yards,Per G,Plays,yds_per_play,Rush_plays,Oth_TLs_Plays,Pass_yds,Rush_yds,TLs_yds,Rush%,Ps%,Oth%,Pass_plays,Sa_Plays
BC,7,"1,777",253.9,361,4.92,104,0,"1,499",471,-193,29%,71%,0%,232,25
CGY,7,"2,395",342.1,414,5.79,159,12,"1,696",842,-143,38%,59%,3%,221,22
EDM,8,"3,144",393.0,450,6.99,197,17,"2,113","1,133",-102,44%,52%,4%,219,17
HAM,7,"2,577",368.1,385,6.69,157,7,"1,912",838,-173,41%,57%,2%,199,22
MTL,6,"2,068",344.7,323,6.40,104,8,"1,597",565,-94,32%,65%,2%,201,10
OTT,7,"2,482",354.6,374,6.64,125,6,"2,221",422,-161,33%,65%,2%,222,21
SSK,7,"2,216",316.6,370,5.99,145,7,"1,676",629,-89,39%,59%,2%,206,12
TOR,6,"2,155",359.2,347,6.21,98,1,"1,930",378,-153,28%,71%,0%,226,22
WPG,7,"2,213",316.1,370,5.98,112,2,"1,728",664,-179,30%,69%,1%,231,25
CFL,31,"21,027",678.3,"3,394",6.20,"1,201",60,"16,372","5,942","-1,287",35%,63%,2%,"1,957",176
