Team,PA,Avg,Avg,Diff,,PER GAME,Offensive_points_Team,Offensive_points_Avg,Offensive_points_Avg,Offensive_points_Oppt,Offensive_points_Avg,Offensive_points_Avg,GP,PF,Avg,Avg
BC,85,17.0,27.2,+10.2,,CFL-Wide:,129,25.8,14.4,72,25.8,14.4,5,136,17.0,27.2
CGY,93,23.3,19.5,-3.8,,Offence 3.68,72,18.0,21.5,86,18.0,21.5,4,78,23.3,19.5
EDM,120,24.0,12.4,-11.6,,Return 0.63,56,11.2,22.6,113,11.2,22.6,5,62,24.0,12.4
HAM,125,31.3,19.5,-11.8,,- Kick 0.21,66,16.5,27.8,111,16.5,27.8,4,78,31.3,19.5
MTL,76,19.0,19.8,+0.8,,- Defence 0.42,67,16.8,17.5,70,16.8,17.5,4,79,19.0,19.8
OTT,73,18.3,16.5,-+1.8,,,60,15.0,16.8,67,15.0,16.8,4,66,18.3,16.5
SSK,95,23.8,21.3,-2.5,,,84,21.0,22.0,88,21.0,22.0,4,85,23.8,21.3
TOR,69,23.0,40.0,+17.0,,,101,33.7,21.0,63,33.7,21.0,3,120,23.0,40.0
WPG,102,20.4,26.8,+6.4,,,125,25.0,18.0,90,25.0,18.0,5,134,20.4,26.8
CFL,838,44.1,44.1,,,,760,40.0,40.0,760,40.0,40.0,19,838,44.1,44.1
