Team,Acc,Decl,Yards,GP,ALL,Avg,Off,Def,SpTm,ST_cover_Punt,ST_cover_K/Os,ST_return_PtR,ST_return_KOR
BC,44,2,456,5,46,9.2,14,16,16,7,0,8,1
CGY,29,2,284,4,31,7.8,8,12,11,2,2,5,2
EDM,34,9,360,5,43,8.6,14,18,11,6,1,0,4
HAM,38,5,415,4,43,10.8,14,13,16,4,5,6,1
MTL,31,5,334,4,36,9.0,11,10,15,0,0,11,4
OTT,19,3,206,4,22,5.5,8,5,9,4,2,3,0
SSK,20,2,212,4,22,5.5,6,8,8,3,0,3,2
TOR,27,0,300,3,27,9.0,15,6,6,1,2,2,1
WPG,24,6,258,5,30,6.0,13,7,10,2,0,8,0
CFL,266,34,"2,825",2023,300,15.8,103,95,102,29,12,46,15
