Team,1st_down_plays,1st_down_avg_yds,Opp_1st_down_plays,Opp_1st_down_avg_yds,1st_down_rush_calls,1st_down_pass_calls
BC,163,7.13,143,5.15,62,101
CGY,125,6.49,132,6.77,60,65
EDM,137,5.61,163,6.75,54,83
HAM,125,6.10,130,7.78,45,80
MTL,115,5.91,117,6.02,47,68
OTT,119,5.40,117,6.49,46,73
SSK,130,5.13,130,6.43,44,86
TOR,99,7.97,99,5.91,58,41
WPG,163,6.36,145,4.78,79,84
CFL,"1,176",6.22,"1,176",6.22,495,681
