Team,0-9_yds_Effic,20+_yds_TD,20+_yds_Effic,0-9_yds_Att,0-9_yds_Com,0-9_yds_%,0-9_yds_Yds,0-9_yds_Int,0-9_yds_TD,10-19_yds_Att,10-19_yds_Com,10-19_yds_%,10-19_yds_Yds,10-19_yds_Int,10-19_yds_TD,10-19_yds_Effic,20+_yds_Att,20+_yds_Com,20+_yds_%,20+_yds_Yds,20+_yds_Int
BC,114.2,7,107.6,82,74,90.2,646,0,1,38,24,63.2,389,5,1,51.3,46,20,43.5,505,3
CGY,90.6,0,-29.3,85,59,69.4,646,1,1,34,15,44.1,222,3,1,39.1,15,2,13.3,47,2
EDM,87.5,3,97.7,91,67,73.6,566,2,2,29,10,34.5,173,2,0,26.9,18,8,44.4,313,3
HAM,79.7,2,64.0,86,66,76.7,501,3,1,25,14,56.0,226,2,0,53.1,33,10,30.3,330,2
MTL,101.8,1,139.6,70,54,77.1,516,0,1,22,11,50.0,224,1,0,67.2,20,10,50.0,380,0
OTT,92.7,0,-77.1,78,58,74.4,457,0,1,32,14,43.8,235,4,0,17.1,14,2,14.3,94,4
SSK,91.2,2,79.2,73,54,74.0,442,2,3,35,24,68.6,396,0,1,115.9,26,10,38.5,321,2
TOR,86.3,1,98.2,43,33,76.7,309,1,0,17,12,70.6,253,1,1,118.0,16,5,31.3,189,0
WPG,100.0,5,138.9,79,64,81.0,516,1,2,37,23,62.2,388,1,2,104.3,30,11,36.7,365,0
CFL,93.9,21,82.1,687,529,77.0,"4,599",10,12,269,147,54.6,2506,19,6,64.4,218,78,35.8,"2,544",16
