Team,C1_Miss,C2_Rsh,Pass,Def,C1_att,C1_md,C1_%,C2_att,C2_md,C2_%
BC,1,0,0,0,14,13,92.9,0,0,0
CGY,0,0,1,0,5,5,100.0,2,1,50.0
EDM,0,1,0,0,4,4,100.0,3,1,33.3
HAM,1,0,2,0,2,1,50.0,5,2,40.0
MTL,0,0,0,0,7,7,100.0,0,0,0
OTT,0,0,1,0,3,3,100.0,1,1,100.0
SSK,1,0,1,0,6,5,83.3,2,1,50.0
TOR,0,1,0,0,13,13,100.0,1,1,100.0
WPG,1,0,0,0,14,13,92.9,0,0,0
CFL,4,2,5,0,68,64,94.1,14,7,50.0
