Team,1st_downs_made_Pen,1st_downs_made_Total,1st_downs_made_Rush,1st_downs_made_Pass,Opp_1st_downs_made_Total,Opp_1st_downs_made_Rush,Opp_1st_downs_made_Pass,Opp_1st_downs_made_Pen
BC,8,110,34,68,85,28,47,10
CGY,2,70,26,42,82,33,43,6
EDM,8,74,25,41,104,42,55,7
HAM,3,66,21,42,87,30,48,9
MTL,5,68,21,42,67,19,42,6
OTT,7,69,23,39,64,24,38,2
SSK,3,81,27,51,79,31,44,4
TOR,8,69,33,28,59,14,41,4
WPG,10,106,39,57,86,28,52,6
CFL,54,713,249,410,713,249,410,54
