Team,C2,FG,Sgl,S/T,Oppt_TDs_PR,Oppt_TDs_KOR,Oppt_TDs_FGM,TD,C1,Oppt_TDs_Rush,Oppt_TDs_Pass,Oppt_TDs_Int,Oppt_TDs_FR,Oppt_points_Q1,Oppt_points_Q2,Oppt_points_Q3,Oppt_points_Q4,Oppt_points_OT
BC,0,12,1,0,1,0,0,7,6,3,2,1,0,17,30,16,22,0
CGY,1,9,5,0,1,0,0,9,5,3,5,0,0,12,27,22,26,6
EDM,2,15,3,0,0,0,0,10,8,4,5,1,0,24,32,32,32,0
HAM,0,8,1,1,1,0,0,14,14,7,5,1,0,36,46,20,23,0
MTL,0,11,1,0,0,0,0,6,6,2,3,0,1,20,29,20,7,0
OTT,1,10,2,0,0,0,0,6,3,3,2,0,1,21,13,22,17,0
SSK,0,7,5,0,1,0,0,10,9,5,4,0,0,10,26,32,24,3
TOR,2,2,0,0,0,0,0,9,5,1,7,1,0,14,23,3,29,0
WPG,1,8,2,0,0,0,0,11,8,3,6,0,2,28,18,29,27,0
CFL,7,82,20,1,4,0,0,82,64,31,39,4,4,182,244,196,207,9
