Team,Opp_Fail,Att,Md,Fail,Opp_Att,Opp_Md
BC,2,7,7,0,6,4
CGY,1,3,2,1,5,4
EDM,1,7,5,2,5,4
HAM,1,7,5,2,6,5
MTL,1,3,2,1,5,4
OTT,2,2,2,0,5,3
SSK,1,7,5,2,4,3
TOR,1,5,2,3,7,6
WPG,2,9,8,1,7,5
CFL,12,50,38,12,50,38
