Team,FGM,T/O,Punt,Oth,Poss,TD,FG,Own_1-20_Drv,Own_1-20_TD,Own_21-40_Drv,Own_21-40_TD,Own_41-54_Drv,Own_41-54_TD,Opp_55-41_Drv,Opp_55-41_TD,Opp_40-21_Drv,Opp_40-21_TD,Opp_20-1_Drv,Opp_20-1_TD,2-&-Outs_2&O,2-&-Outs_%
BC,1,9,31,5,71,13,12,16,2,31,6,6,1,2,0,1,0,1,1,22,31%
CGY,3,7,33,2,60,6,9,9,0,30,4,14,1,3,0,3,1,1,0,22,37%
EDM,2,14,42,1,68,6,3,7,1,45,2,10,1,3,1,3,1,0,0,26,38%
HAM,0,13,26,3,57,5,10,8,0,30,2,10,1,6,1,2,0,1,1,20,35%
MTL,1,8,27,3,54,5,10,8,1,18,1,10,1,2,0,1,1,1,0,14,26%
OTT,1,13,27,5,61,3,12,12,0,31,1,13,1,2,1,2,0,1,0,28,46%
SSK,3,10,23,3,56,8,9,9,0,31,4,8,1,3,1,4,1,1,1,22,39%
TOR,0,4,19,2,42,11,6,6,1,20,4,8,1,3,3,5,2,0,0,11,26%
WPG,0,10,27,8,69,13,11,7,1,41,7,11,2,7,2,2,1,1,0,23,33%
CFL,11,88,255,32,538,70,82,82,6,277,31,90,10,31,9,23,7,7,3,188,35%
