TEAM,Opp_RZ_Pts,Att,TD,%,FG,T/O,Oth,Pts,%,Opp_Att1,Opp_TD,Opp_%,Opp_(No_TD)_FG,Opp_(No_TD)_T/O,Opp_(No_TD)_Oth
BC,43 61%,15,11,73.3,3,0,1,86,82%,10,5,50.0,3,2,0
CGY,51 56%,10,5,50.0,3,2,0,44,63%,13,5,38.5,6,2,0
EDM,69 58%,7,4,57.1,2,1,0,34,69%,17,7,41.2,6,2,2
HAM,85 76%,11,4,36.4,5,2,0,44,57%,16,10,62.5,4,1,1
MTL,43 61%,10,4,40.0,3,3,0,37,53%,10,4,40.0,5,1,0
OTT,43 68%,10,2,20.0,6,1,1,32,46%,9,4,44.4,5,0,0
SSK,55 65%,16,7,43.8,6,3,0,66,59%,12,7,58.3,2,3,0
TOR,46 82%,13,10,76.9,3,0,0,80,88%,8,6,75.0,1,1,0
WPG,73 80%,16,10,62.5,4,1,1,85,76%,13,9,69.2,3,1,0
CFL,508 67%,108,57,52.8,35,13,3,508,67%,108,57,52.8,35,13,3
