Team,TOP,Gap,Team_Poss,Team_FP_Yds,Team_YdL,Starts_from_opp_end_No,Starts_from_opp_end_TD,Opp_Poss,Opp_FP_Yds,Opp_YdL
BC,31:44,-4.0,71,"2,440",34.4,4,1,68,"2,611",38.4
CGY,27:18,+0.0,60,"2,321",38.7,7,1,61,"2,361",38.7
EDM,28:25,+2.3,68,"2,470",36.3,6,2,70,"2,384",34.1
HAM,32:28,-0.9,57,"2,139",37.5,9,2,57,"2,191",38.4
MTL,29:41,+1.2,54,"1,903",35.2,4,1,56,"1,904",34.0
OTT,29:41,-2.9,61,"2,214",36.3,5,1,59,"2,315",39.2
SSK,29:00,+0.0,56,"2,086",37.3,8,3,56,"2,088",37.3
TOR,31:07,+6.1,42,"1,706",40.6,8,5,45,"1,553",34.5
WPG,30:41,+0.2,69,"2,616",37.9,10,3,66,"2,488",37.7
CFL,,,538,"19,895",37.0,61,19,538,"19,895",37.0
