Team,LG,S,FGA,Md,%,<40_yds_FGA,<40_yds_Md,<40_yds_%,40+_yds_FGA,40+_yds_Md,40+_yds_%,50+_yds_FGA,50+_yds_Md,FG_made_Yards,FG_made_Avg,FG_att_Yards,FG_att_Avg
BC,51,0,13,12,92.30769230769232,5,5,100.0,8,7,87.5,2,1,446,37.2,498,38.3
CGY,53,0,12,9,75.0,6,5,83.3,6,4,66.7,2,2,326,36.2,457,38.1
EDM,43,1,5,3,60.0,3,2,66.7,2,1,50.0,0,0,78,26.0,156,31.2
HAM,50,0,10,10,100.0,8,8,100.0,2,2,100.0,1,1,301,30.1,301,30.1
MTL,51,0,12,10,83.33333333333334,5,5,100.0,7,5,71.4,1,1,361,36.1,448,37.3
OTT,50,0,13,12,92.30769230769232,8,8,100.0,5,4,80.0,1,1,369,30.8,414,31.8
SSK,46,2,12,9,75.0,9,8,88.9,3,1,33.3,2,0,211,23.4,347,28.9
TOR,47,0,6,6,100.0,3,3,100.0,3,3,100.0,0,0,214,35.7,214,35.7
WPG,50,0,11,11,100.0,8,8,100.0,3,3,100.0,1,1,337,30.6,337,30.6
CFL,53,3,94,82,87.2340425531915,55,52,94.5,39,30,76.9,10,7,"2,643",32.2,"3,172",33.7
