Team,Opp_Fail,Att,Md,Fail,Opp_Att,Opp_Md
BC,2,5,5,0,6,4
CGY,1,1,1,0,3,2
EDM,1,7,5,2,4,3
HAM,1,5,4,1,5,4
MTL,1,3,2,1,3,2
OTT,1,1,1,0,3,2
SSK,1,6,4,2,4,3
TOR,1,5,2,3,7,6
WPG,1,7,6,1,5,4
CFL,10,40,30,10,40,30
