Team,Avg,LG,S,I10,Oppt_returns_TD,Oppt_returns_30+,No,Yards,Oppt_returns_No,Oppt_returns_Yards,Oppt_returns_Avg,Oppt_returns_LG,Net_Avg,Net_Yd,Adjusted_Sgl,Adjusted_Cover,Adjusted_Retn,Adjusted_FP_Yds,Adjusted_Avg
BC,46.5,63,1,2,1,1,24,"1,117",17,225,13.2,91,35.5,852,(16),-85,+11,762,31.8
CGY,50.6,77,1,3,1,1,24,"1,215",21,212,10.1,79,40.1,963,(15),-15,+16,949,39.5
EDM,45.6,62,1,2,0,2,33,"1,505",26,317,12.2,44,34.8,"1,148",(2),-60,+46,"1,132",34.3
HAM,47.6,78,1,0,1,1,21,"1,000",18,186,10.3,77,36.9,774,(17),-10,+30,777,37.0
MTL,50.0,67,0,2,0,0,21,"1,051",17,150,8.8,18,42.9,901,(0),-17,+0,884,42.1
OTT,46.1,64,1,1,0,0,21,968,17,87,5.1,23,40.0,841,(12),-15,+38,852,40.6
SSK,53.3,90,1,2,1,1,16,852,13,220,16.9,92,37.0,592,(20),-45,+10,537,33.6
TOR,49.6,66,2,3,0,2,19,943,14,192,13.7,52,35.3,671,(21),-15,+8,643,33.8
WPG,46.9,59,0,2,0,0,19,891,14,131,9.4,17,40.0,760,(0),-25,+20,755,39.7
CFL,48.2,90,8,17,4,8,198,"9,542",157,"1,720",11.0,92,37.9,"7,502",(103),-287,+179,"7,291",36.8
