TEAM,Opp_RZ_Pts,Att,TD,%,FG,T/O,Oth,Pts,%,Opp_Att1,Opp_TD,Opp_%,Opp_(No_TD)_FG,Opp_(No_TD)_T/O,Opp_(No_TD)_Oth
BC,36 73%,11,8,72.7,2,0,1,62,81%,7,4,57.1,3,0,0
CGY,38 54%,9,4,44.4,3,2,0,37,59%,10,4,40.0,4,2,0
EDM,58 64%,6,3,50.0,2,1,0,27,64%,13,6,46.2,5,0,2
HAM,75 77%,8,4,50.0,2,2,0,35,63%,14,9,64.3,3,1,1
MTL,19 45%,7,3,42.9,3,1,0,30,61%,6,1,16.7,4,1,0
OTT,34 81%,8,1,12.5,5,1,1,22,39%,6,4,66.7,2,0,0
SSK,48 62%,12,6,50.0,5,1,0,55,65%,11,6,54.5,2,3,0
TOR,46 82%,13,10,76.9,3,0,0,80,88%,8,6,75.0,1,1,0
WPG,66 79%,13,9,69.2,2,1,1,72,79%,12,8,66.7,3,1,0
CFL,420 69%,87,48,55.2,27,9,3,420,69%,87,48,55.2,27,9,3
