Team,Penalties_total,Illegal_pnt,Illegal_K/O,Penalties_punt,Penalties_K/O
BC,6,1,0,6,0
CGY,3,0,0,1,2
EDM,6,2,0,5,1
HAM,6,1,1,3,3
MTL,0,0,0,0,0
OTT,4,0,1,2,2
SSK,3,0,0,3,0
TOR,3,0,0,1,2
WPG,2,1,0,2,0
CFL,33,5,2,23,10
