Team,1-3_yds_%,4-6_yds_%,7+_yds_%,Att,Md,%,1-3_yds_Att,1-3_yds_Md,4-6_yds_Att,4-6_yds_Md,7+_yds_Att,7+_yds_Md,Yds_to_go_Yards,Yds_to_go_Avg
BC,76.5,60.7,37.8,90,47,52.2,17,13,28,17,45,17,656,7.29
CGY,80.0,29.4,35.9,71,31,43.7,15,12,17,5,39,14,499,7.03
EDM,53.3,43.8,27.9,74,27,36.5,15,8,16,7,43,12,578,7.81
HAM,62.5,60.0,27.9,66,26,39.4,8,5,15,9,43,12,515,7.80
MTL,60.0,46.7,37.1,60,26,43.3,10,6,15,7,35,13,472,7.87
OTT,80.0,38.5,31.0,65,26,40.0,10,8,13,5,42,13,469,7.22
SSK,61.5,60.0,41.9,71,35,49.3,13,8,15,9,43,18,550,7.75
TOR,81.3,52.9,44.8,62,35,56.5,16,13,17,9,29,13,447,7.21
WPG,73.7,58.6,44.2,91,50,54.9,19,14,29,17,43,19,601,6.60
CFL,70.7,51.5,36.2,650,303,46.6,123,87,165,85,362,131,"4,787",7.36
